voteid,question,source,rank,rating,time,user_id,code
163,1,0,4,1,2017-03-24 21:43:21.981915,13,"void somethod () {
  // come
}"
164,1,1,3,1,2017-03-24 21:43:25.768920,13,"void somethod () {
  // come
}"
165,2,1,3,4,2017-03-24 21:43:27.057967,12,"void somethod() {
  //some comments
}"
166,1,1,4,1,2017-03-24 21:43:27.105075,13,"void somethod () {
  // come
}"
167,2,0,1,5,2017-03-24 21:43:28.048038,34,"public void Person()
{
  //interface
}"
168,2,1,2,3,2017-03-24 21:43:28.237690,4,"void somethod(){
  // some comments
}"
169,2,1,2,1,2017-03-24 21:43:30.593686,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
 if(p.getSalary() < 10000){
   p.getSalary()*.02;
 }     
}"
170,2,1,1,2,2017-03-24 21:43:31.554504,12,"void somethod() {
  //some comments
}"
171,2,0,1,3,2017-03-24 21:43:33.051029,36,"class Employee extends Person{
  double getSalary();
}"
172,2,1,3,3,2017-03-24 21:43:33.726810,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
173,2,1,4,1,2017-03-24 21:43:34.441115,12,"void somethod() {
  //some comments
}"
174,2,1,5,4,2017-03-24 21:43:38.890508,12,"void somethod() {
  //some comments
}"
175,1,0,3,5,2017-03-24 21:43:38.904351,39,"public int compare(){
  
}"
176,2,1,3,2,2017-03-24 21:43:39.569969,36,"class Employee extends Person{
  double getSalary();
}"
177,2,0,5,4,2017-03-24 21:43:41.774346,12,"void somethod() {
  //some comments
}"
178,2,0,5,2,2017-03-24 21:43:42.175054,36,"class Employee extends Person{
  double getSalary();
}"
179,1,0,3,2,2017-03-24 21:43:42.215715,11,"int largeDifference(int[] array)
{
  int count=0; 
  
  if(array.length==0)
  {
    retun -1;
  }
  
  for(int i=0;i<=array.length;i++)
  {
    if(i==array.length)
    {
      count=Math.abs(array[i]-array[]);
    }
  }
}"
180,2,1,2,4,2017-03-24 21:43:42.764823,12,"void somethod() {
  //some comments
}"
181,1,0,5,5,2017-03-24 21:43:44.379952,39,"public int compare(){
  
}"
182,2,0,4,2,2017-03-24 21:43:46.324578,16,"void mymethod() {
  // get salary from percentages
}"
183,2,1,2,1,2017-03-24 21:43:48.318458,36,"class Employee extends Person{
  double getSalary();
}"
184,2,0,1,1,2017-03-24 21:43:50.440072,16,"void mymethod() {
  // get salary from percentages
}"
185,1,1,1,3,2017-03-24 21:43:50.591647,13,"void somethod () {
  // show
}"
186,1,1,4,1,2017-03-24 21:43:51.967415,13,"void somethod () {
  // show
}"
187,1,0,5,2,2017-03-24 21:43:53.223213,13,"void somethod () {
  // show
}"
188,2,0,2,4,2017-03-24 21:43:53.286873,36,"class Employee extends Person{
  double getSalary();
}"
189,2,0,4,3,2017-03-24 21:43:56.270877,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
190,1,0,1,2,2017-03-24 21:43:57.875303,13,"void somethod () {
  // show
}"
191,2,0,2,1,2017-03-24 21:43:58.093758,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
192,1,0,2,2,2017-03-24 21:43:59.084368,13,"void somethod () {
  // show
}"
193,2,1,3,1,2017-03-24 21:43:59.095856,16,"void mymethod() {
  // get salary from percentages
}"
194,2,0,5,1,2017-03-24 21:43:59.836105,16,"void mymethod() {
  // get salary from percentages
}"
195,2,1,3,2,2017-03-24 21:44:00.215587,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
class BuisnessOwner extends Person {
  double getProfit();
}
class Veteran extends Person{
  String veteran_id;
}"
196,1,1,1,5,2017-03-24 21:44:00.678889,39,"public int compare(){
  
}"
197,2,1,2,1,2017-03-24 21:44:01.513556,16,"void mymethod() {
  // get salary from percentages
}"
198,2,1,1,1,2017-03-24 21:44:02.760904,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
class BuisnessOwner extends Person {
  double getProfit();
}
class Veteran extends Person{
  String veteran_id;
}"
199,2,1,3,1,2017-03-24 21:44:03.222604,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
 if(p.getSalary() < 10000){
   return p.getSalary()*.02;
 }     
}"
200,2,1,5,1,2017-03-24 21:44:03.868685,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
201,2,1,5,1,2017-03-24 21:44:03.922253,16,"void mymethod() {
  // get salary from percentages
}"
202,2,1,5,1,2017-03-24 21:44:05.937531,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
 if(p.getSalary() < 10000){
   return p.getSalary()*.02;
 }     
}"
203,2,0,2,2,2017-03-24 21:44:06.457327,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
class BuisnessOwner extends Person {
  double getProfit();
}
class Veteran extends Person{
  String veteran_id;
}"
204,2,1,1,1,2017-03-24 21:44:06.470180,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
205,2,1,4,1,2017-03-24 21:44:06.625908,16,"void mymethod() {
  // get salary from percentages
}"
206,1,1,1,1,2017-03-24 21:44:09.678513,11,"int largeDifference(int[] array)
{
  int count=0; 
  
  if(array.length==0)
  {
    retun -1;
  }
  
  for(int i=0;i<=array.length;i++)
  {
    if(i==array.length)
    {
      count=Math.abs(array[i]-array[]);
    }
  }
}"
207,2,0,1,1,2017-03-24 21:44:09.781090,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
208,2,0,3,1,2017-03-24 21:44:09.999705,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
class BuisnessOwner extends Person {
  double getProfit();
}
class Veteran extends Person{
  String veteran_id;
}"
209,1,1,5,1,2017-03-24 21:44:10.259771,11,"int largeDifference(int[] array)
{
  int count=0; 
  
  if(array.length==0)
  {
    retun -1;
  }
  
  for(int i=0;i<=array.length;i++)
  {
    if(i==array.length)
    {
      count=Math.abs(array[i]-array[]);
    }
  }
}"
210,2,0,4,3,2017-03-24 21:44:10.508364,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
 if(p.getSalary() < 10000){
   return p.getSalary()*.02;
 }     
}"
211,1,1,3,1,2017-03-24 21:44:11.203985,11,"int largeDifference(int[] array)
{
  int count=0; 
  
  if(array.length==0)
  {
    retun -1;
  }
  
  for(int i=0;i<=array.length;i++)
  {
    if(i==array.length)
    {
      count=Math.abs(array[i]-array[]);
    }
  }
}"
212,1,1,1,4,2017-03-24 21:44:11.373632,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  
  double difference  = list[0] - list[2];
  
  return difference;
}"
213,2,1,2,1,2017-03-24 21:44:11.398154,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
class BuisnessOwner extends Person {
  double getProfit();
}
class Veteran extends Person{
  String veteran_id;
}"
214,2,0,5,2,2017-03-24 21:44:12.026468,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
 if(p.getSalary() < 10000){
   return p.getSalary()*.02;
 }     
}"
215,2,1,2,1,2017-03-24 21:44:13.467962,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
216,2,1,4,2,2017-03-24 21:44:14.638711,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
 if(p.getSalary() < 10000){
   return p.getSalary()*.02;
 }     
}"
217,2,0,2,3,2017-03-24 21:44:16.697456,16,"void mymethod() {
  // get salary from percentages
}"
218,2,1,5,3,2017-03-24 21:44:18.397863,12,"void somethod(){
  //some comments
}"
219,2,0,3,4,2017-03-24 21:44:24.351869,12,"void somethod(){
  //some comments
}"
220,2,0,5,3,2017-03-24 21:44:30.093248,12,"void somethod(){
  //some comments
}"
221,2,0,1,4,2017-03-24 21:44:31.806857,12,"void somethod(){
  //some comments
}"
222,2,0,2,2,2017-03-24 21:44:33.901071,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
 if(p.getSalary() < 10000){
   return p.getSalary()*.02;
 }     
}"
223,2,0,4,2,2017-03-24 21:44:34.902723,12,"void somethod(){
  //some comments
}"
224,2,1,4,5,2017-03-24 21:44:36.528901,12,"void somethod(){
  //some comments
}"
225,1,1,1,2,2017-03-24 21:44:36.630823,15,"void somethod(){
  //some comments 
}"
226,2,1,2,1,2017-03-24 21:44:41.164600,12,"void somethod(){
  //some comments
}"
227,2,0,5,3,2017-03-24 21:44:42.206369,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
class BuisnessOwner extends Person {
  double getProfit();
}
class Veteran extends Person{
  String veteran_id;
}"
228,2,1,1,4,2017-03-24 21:44:43.595417,12,"void somethod(){
  //some comments
}"
229,2,1,2,2,2017-03-24 21:44:45.081373,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
230,1,0,5,1,2017-03-24 21:44:46.435378,13,"void somethod() {
  // some comments
}"
231,2,0,2,3,2017-03-24 21:44:46.937657,12,"void somethod(){
  //some comments
}"
232,2,0,3,3,2017-03-24 21:44:47.333483,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
 if(p.getSalary() < 10000){
   return p.getSalary()*.02;
 }     
}"
233,2,1,3,4,2017-03-24 21:44:47.915625,12,"void somethod(){
  //some comments
}"
234,2,0,2,3,2017-03-24 21:44:50.334345,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
235,1,1,5,1,2017-03-24 21:44:50.715721,39,"public int compare(){
  
}"
236,1,1,3,3,2017-03-24 21:44:52.020317,15,"void somethod(){
  //some comments 
}"
237,2,0,4,3,2017-03-24 21:44:52.975891,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
class BuisnessOwner extends Person {
  double getProfit();
}
class Veteran extends Person{
  String veteran_id;
}"
238,2,1,1,2,2017-03-24 21:44:53.377239,52,"void Taxreturn(int s)
{
  String per1;
  System.out.println(""Are you an Employee,Business Owner,or Veterans?"");
  
}"
239,2,0,4,2,2017-03-24 21:44:53.913885,60,"//FIND TAX BASED ON A PERSONS STATUS IN A BUSINESS
void personalTax(){
  
}"
240,2,1,2,1,2017-03-24 21:44:54.217157,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
 if(p.getSalary() < 10000){
   return p.getSalary()*.02;
 }     
}"
241,2,1,4,2,2017-03-24 21:44:54.823242,52,"void Taxreturn(int s)
{
  String per1;
  System.out.println(""Are you an Employee,Business Owner,or Veterans?"");
  
}"
242,1,1,3,1,2017-03-24 21:44:56.579521,13,"void somethod() {
  // some comments
}"
243,1,0,1,4,2017-03-24 21:44:57.280611,39,"public int compare(){
  
}"
244,2,1,5,2,2017-03-24 21:44:58.763885,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
245,2,1,1,1,2017-03-24 21:45:00.744673,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
246,1,1,5,1,2017-03-24 21:45:01.258656,13,"void somethod() {
  // some comments
}"
247,1,1,2,1,2017-03-24 21:45:02.123773,39,"public int compare(){
  
}"
248,2,0,1,2,2017-03-24 21:45:02.240591,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
 if(p.getSalary() < 10000){
   return p.getSalary()*.02;
 }     
}"
249,1,1,4,1,2017-03-24 21:45:05.426113,15,"void somethod(){
  //some comments 
}"
250,1,0,4,3,2017-03-24 21:45:06.322365,39,"public int compare(){
  
}"
251,2,0,1,2,2017-03-24 21:45:07.261728,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
252,2,0,5,4,2017-03-24 21:45:07.329922,44,"void salary(){
	
      
}



  
  "
253,2,0,4,2,2017-03-24 21:45:08.202860,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
254,1,0,2,3,2017-03-24 21:45:08.789191,39,"public int compare(){
  
}"
255,1,0,1,2,2017-03-24 21:45:09.425424,13,"void somethod() {
  // some comments
}"
256,2,1,1,1,2017-03-24 21:45:10.569228,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
 if(p.getSalary() < 10000){
   return p.getSalary()*.02;
 }     
}"
257,1,0,2,2,2017-03-24 21:45:11.644865,13,"void somethod() {
  // some comments
}"
258,1,1,4,1,2017-03-24 21:45:11.863666,39,"public int compare(){
  
}"
259,1,0,3,1,2017-03-24 21:45:13.615844,13,"void somethod() {
  // some comments
}"
260,1,1,2,2,2017-03-24 21:45:13.716832,15,"void somethod(){
  //some comments 
}"
261,1,1,4,3,2017-03-24 21:45:15.551078,37,"public int Compare(int[] test){
  int diff = 0;
  int min = 0;
  int max = 0;
  for(int i = 0; i < test.length; i++)
  	if(test[i] < min){
      min = test[i];
    }
  	else if(test[i] > max){
      max = test[i];
    }
   diff = max - min;
   return diff;
}"
262,2,0,1,3,2017-03-24 21:45:16.654609,34,"public void Person()
{
  //interface
}"
263,1,1,3,1,2017-03-24 21:45:17.126622,39,"public int compare(){
  
}"
264,1,1,2,2,2017-03-24 21:45:18.840006,13,"void somethod() {
  // some comments
}"
265,1,0,1,1,2017-03-24 21:45:19.938816,15,"void somethod(){
  //some comments 
}"
266,2,1,4,1,2017-03-24 21:45:22.138199,54,"
public static int minFunction(int n1, int n2) {
   int min;
   if (n1 > n2)
      min = n2;
   else
      min = n1;

   return min; 
}"
267,1,0,3,1,2017-03-24 21:45:23.217903,15,"void somethod(){
  //some comments 
}"
268,2,1,1,1,2017-03-24 21:45:26.986976,34,"public void Person()
{
  //interface
}"
269,2,0,4,3,2017-03-24 21:45:32.111297,34,"public void Person()
{
  //interface
}"
270,1,0,5,3,2017-03-24 21:45:36.408935,37,"public int Compare(int[] test){
  int diff = 0;
  int min = 0;
  int max = 0;
  for(int i = 0; i < test.length; i++)
  	if(test[i] < min){
      min = test[i];
    }
  	else if(test[i] > max){
      max = test[i];
    }
   diff = max - min;
   return diff;
}"
271,1,1,4,1,2017-03-24 21:45:37.745230,13,"void somethod() {
  // show
}"
272,2,1,3,2,2017-03-24 21:45:38.982028,46,"void returnTax(){
  double tax;
  if(Employee.getSalary < 100000)
  {
     tax = .02*Employee.getSalary;
  }
}"
273,1,1,1,3,2017-03-24 21:45:45.543556,37,"public int Compare(int[] test){
  int diff = 0;
  int min = 0;
  int max = 0;
  for(int i = 0; i < test.length; i++)
  	if(test[i] < min){
      min = test[i];
    }
  	else if(test[i] > max){
      max = test[i];
    }
   diff = max - min;
   return diff;
}"
274,1,0,4,3,2017-03-24 21:45:45.670050,13,"void somethod() {
  // show
}"
275,1,0,1,4,2017-03-24 21:45:48.563644,37,"public int Compare(int[] test){
  int diff = 0;
  int min = 0;
  int max = 0;
  for(int i = 0; i < test.length; i++)
  	if(test[i] < min){
      min = test[i];
    }
  	else if(test[i] > max){
      max = test[i];
    }
   diff = max - min;
   return diff;
}"
276,1,1,1,1,2017-03-24 21:45:48.990949,13,"void somethod() {
  // show
}"
277,1,1,5,2,2017-03-24 21:45:52.153840,37,"public int Compare(int[] test){
  int diff = 0;
  int min = 0;
  int max = 0;
  for(int i = 0; i < test.length; i++)
  	if(test[i] < min){
      min = test[i];
    }
  	else if(test[i] > max){
      max = test[i];
    }
   diff = max - min;
   return diff;
}"
278,1,1,5,3,2017-03-24 21:45:52.621153,21,"int[] Size = new int[7];

public int Array(int[] Num)
{
  Num = Size;
  for(int x = 0; x < Num.size(); x++)
  {
    int Count = Num[0]-Num[7];
  }
}"
279,1,0,2,2,2017-03-24 21:45:53.990878,15,"void somethod(){
  //some comments 
}"
280,2,0,3,1,2017-03-24 21:45:57.309702,54,"
public static int minFunction(int n1, int n2) {
   int min;
   if (n1 > n2)
      min = n2;
   else
      min = n1;

   return min; 
}"
281,1,1,3,1,2017-03-24 21:46:00.120935,13,"void somethod() {
  // show
}"
282,1,0,4,3,2017-03-24 21:46:00.268286,37,"public int Compare(int[] test){
  int diff = 0;
  int min = 0;
  int max = 0;
  for(int i = 0; i < test.length; i++)
  	if(test[i] < min){
      min = test[i];
    }
  	else if(test[i] > max){
      max = test[i];
    }
   diff = max - min;
   return diff;
}"
283,1,0,4,3,2017-03-24 21:46:01.860999,39,"public int compare(){
  
}"
284,1,0,1,1,2017-03-24 21:46:01.891760,13,"void somethod() {
  // show
}"
285,1,1,4,3,2017-03-24 21:46:02.395007,23,"int method(){
  
}
  
"
286,1,0,1,2,2017-03-24 21:46:02.696548,39,"public int compare(){
  
}"
287,2,1,3,4,2017-03-24 21:46:03.111146,44,"void tax(){
	
      
}



  
  "
288,2,0,2,4,2017-03-24 21:46:03.824032,12,"void somethod(){
  //some comments
}"
289,1,1,4,1,2017-03-24 21:46:05.594469,13,"void somethod() {
  // show
}"
290,2,1,4,4,2017-03-24 21:46:05.643330,12,"void somethod(){
  //some comments
}"
291,1,1,2,1,2017-03-24 21:46:05.740520,39,"public int compare(){
  
}"
292,2,1,5,1,2017-03-24 21:46:06.352688,34,"public void Person()
{
  //interface
}"
293,2,0,1,4,2017-03-24 21:46:09.877599,12,"void somethod(){
  //some comments
}"
294,1,0,4,3,2017-03-24 21:46:09.994660,13,"void somethod() {
  // show
}"
295,1,0,3,3,2017-03-24 21:46:10.477780,37,"public int Compare(int[] test){
  int diff = 0;
  int min = 0;
  int max = 0;
  for(int i = 0; i < test.length; i++)
  	if(test[i] < min){
      min = test[i];
    }
  	else if(test[i] > max){
      max = test[i];
    }
   diff = max - min;
   return diff;
}"
296,2,0,3,3,2017-03-24 21:46:10.590854,34,"public void Person()
{
  //interface
}"
297,1,1,3,3,2017-03-24 21:46:10.656181,21,"int[] Size = new int[7];

public int Array(int[] Num)
{
  Num = Size;
  for(int x = 0; x < Num.size(); x++)
  {
    int Count = Num[0]-Num[7];
  }
}"
298,1,0,5,3,2017-03-24 21:46:10.675121,15,"void somethod(){
  //some comments 
}"
299,2,1,4,4,2017-03-24 21:46:10.855220,12,"void somethod(){
  //some comments
}"
300,2,0,2,3,2017-03-24 21:46:13.366380,12,"void somethod(){
  //some comments
}"
301,1,0,3,1,2017-03-24 21:46:15.232526,13,"void somethod() {
  // show
}"
302,1,0,5,3,2017-03-24 21:46:16.308191,39,"public int compare(){
  
}"
303,1,1,2,2,2017-03-24 21:46:16.823393,37,"public int Compare(int[] test){
  int diff = 0;
  int min = 0;
  int max = 0;
  for(int i = 0; i < test.length; i++)
  	if(test[i] < min){
      min = test[i];
    }
  	else if(test[i] > max){
      max = test[i];
    }
   diff = max - min;
   return diff;
}"
304,1,0,2,3,2017-03-24 21:46:18.824265,37,"public int Compare(int[] test){
  int diff = 0;
  int min = 0;
  int max = 0;
  for(int i = 0; i < test.length; i++)
  	if(test[i] < min){
      min = test[i];
    }
  	else if(test[i] > max){
      max = test[i];
    }
   diff = max - min;
   return diff;
}"
305,1,1,3,4,2017-03-24 21:46:22.749579,37,"public int Compare(int[] test){
  int diff = 0;
  int min = 0;
  int max = 0;
  for(int i = 0; i < test.length; i++)
  	if(test[i] < min){
      min = test[i];
    }
  	else if(test[i] > max){
      max = test[i];
    }
   diff = max - min;
   return diff;
}"
306,1,0,3,4,2017-03-24 21:46:27.665434,39,"public int compare(){
  
}"
307,1,1,5,1,2017-03-24 21:46:27.688746,13,"void somethod() {
  // show
}"
308,1,1,5,4,2017-03-24 21:46:28.748510,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
}"
309,2,0,1,2,2017-03-24 21:46:31.177822,44,"void tax(){
	
      
}



  
  "
310,1,1,3,4,2017-03-24 21:46:34.479206,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
}"
311,1,0,5,5,2017-03-24 21:46:36.915952,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
}"
312,2,1,4,1,2017-03-24 21:46:38.036030,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
  
 if(p.getSalary() < 10000){
   return p.getProfit()*.10;
 }     
}"
313,1,0,3,1,2017-03-24 21:46:40.238484,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
}"
314,2,1,2,2,2017-03-24 21:46:40.497595,54,"
public static int minFunction(int n1, int n2) {
   int min;
   if (n1 > n2)
      min = n2;
   else
      min = n1;

   return min; 
}"
315,1,1,2,3,2017-03-24 21:46:44.772554,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
}"
316,1,0,3,1,2017-03-24 21:46:45.121477,23,"int method(){
  
}
  
"
317,2,0,5,3,2017-03-24 21:46:45.317981,60,"//FIND TAX BASED ON A PERSONS STATUS IN A BUSINESS
void personalTax(){
  
}"
318,1,1,5,3,2017-03-24 21:46:47.852268,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
}"
319,1,1,4,1,2017-03-24 21:46:49.195588,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
}"
320,2,0,4,2,2017-03-24 21:46:49.341523,60,"//FIND TAX BASED ON A PERSONS STATUS IN A BUSINESS
void personalTax(){
  
}"
321,2,1,2,1,2017-03-24 21:46:49.780404,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
  
 if(p.getSalary() < 10000){
   return p.getProfit()*.10;
 }     
}"
322,1,0,2,1,2017-03-24 21:46:50.318904,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
}"
323,1,0,1,2,2017-03-24 21:46:54.919502,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
}"
324,1,1,1,2,2017-03-24 21:46:57.739101,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
}"
325,1,0,1,1,2017-03-24 21:47:05.020794,23,"int method(){
  
}
  
"
326,1,0,4,1,2017-03-24 21:47:23.110601,16,"void biggestmethod(){
  // find difference between values
}"
327,1,1,3,1,2017-03-24 21:47:26.055678,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
  return difference;
}"
328,1,0,4,1,2017-03-24 21:47:28.050333,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
  return difference;
}"
329,1,1,3,1,2017-03-24 21:47:31.857836,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
  return difference;
}"
330,1,1,5,1,2017-03-24 21:47:40.676285,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
  return difference;
}"
331,1,0,4,1,2017-03-24 21:47:41.870063,29,"public double array(double a, double b, double c)
{
  double[] list = {a, b, c};
  double difference = list[0] - list[2];
  return difference;
}"
332,1,0,3,2,2017-03-24 21:47:42.729218,46,"void largest(int array[])
{
  	
}"
333,2,1,1,2,2017-03-24 21:47:43.760750,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
  
 if(p.getSalary() < 10000){
   return p.getProfit()*.10;
 }     
}"
334,1,0,2,1,2017-03-24 21:47:48.090422,16,"void biggestmethod(){
  // find difference between values
}"
335,2,0,4,2,2017-03-24 21:47:50.458830,44,"void tax(){
	//
      
}



  
  "
336,1,1,1,1,2017-03-24 21:47:52.042607,46,"void largest(int array[])
{
  	
}"
337,2,0,5,1,2017-03-24 21:47:55.172503,44,"void tax(){
	//
      
}



  
  "
338,1,1,3,3,2017-03-24 21:47:59.651384,23,"int method(){
  
}
  
"
339,2,0,2,3,2017-03-24 21:48:03.747039,44,"void tax(){
	//
      
}



  
  "
340,2,0,1,3,2017-03-24 21:48:03.831081,8,"//takes a person and returns their tax as below
Double tax(Person p)
{
  if(p.getSalary() < 10000)
  return p.getSalary()*.02;
    else
      return p.getSalary()*.02;
  
 if(p.getSalary() < 10000){
   return p.getProfit()*.10;
 }     
}"
341,2,0,3,1,2017-03-24 21:48:04.696822,44,"void tax(){
	//
      
}



  
  "
342,1,0,1,1,2017-03-24 21:48:07.441487,16,"void biggestmethod(){
  // find difference between values
}"
343,1,1,4,1,2017-03-24 21:48:09.604026,13,"void somethod() {
  // show
}"
344,1,0,2,1,2017-03-24 21:48:10.101713,34,"public void Diff()
{int[] array;
 //compute difference
}"
345,1,0,4,1,2017-03-24 21:48:11.482100,34,"public void Diff()
{int[] array;
 //compute difference
}"
346,1,1,4,1,2017-03-24 21:48:13.066318,13,"void somethod() {
  // show
}"
347,1,1,4,1,2017-03-24 21:48:18.579530,13,"void somethod() {
  // show
}"
348,2,0,4,2,2017-03-24 21:48:20.359567,60,"//FIND TAX BASED ON A PERSONS STATUS IN A BUSINESS
void personalTax(){
  
}"
349,1,0,3,1,2017-03-24 21:48:21.875898,23,"int method(){
  
}
  
"
350,1,1,4,2,2017-03-24 21:48:22.963602,34,"public void Diff()
{int[] array;
 //compute difference
}"
351,1,1,5,1,2017-03-24 21:48:24.784213,13,"void somethod() {
  // show
}"
352,1,1,4,1,2017-03-24 21:48:27.245523,13,"void somethod() {
  // show
}"
353,2,1,3,1,2017-03-24 21:48:29.646878,61,"int random(Person p){
  if(getSalary() < 10000.0){
    return getSalary()*.02;
  } else {
    return getSalary()*.05;
  }
  
  //getProfit*.1 returns 10% of profit
  //0 tax for veterans
  
  /* if(none of above){
  print message
  }*/
}"
354,1,1,1,2,2017-03-24 21:48:30.330616,21,"int[] Size = new int[7];

public int Array(int[] Num)
{
  Num = Size;
  for(int x = 0; x < Num.size(); x++)
  {
    int Count = Num[0]-Num[7];
    
    return Count;
  }
}"
355,2,0,5,3,2017-03-24 21:48:30.696194,60,"//FIND TAX BASED ON A PERSONS STATUS IN A BUSINESS
void personalTax(){
  
}"
356,1,1,1,1,2017-03-24 21:48:31.062378,13,"void somethod() {
  // show
}"
